review,sentiment
"Ne znam kako i zašto ovaj film ima slab rejting na IMDb-u. Ovaj film, u pratnji ""I am Curious: Blue"" je remek delo.<br /><br />Jedina stvar koja će vas izneveriti u ovom filmu je ako vam se ne sviđa proces snimanja filma, ne sviđa vam se psihologija ili ako ste očekivali hardkor pornografsko nabijanje.<br /><br />Ovo nije film koji biste želeli da gledate da biste se opustili; to je film koji želite da vidite kao svako drugo remek-delo, sa vremenom, pažnjom i pažnjom.<br /><br />******REZIME, MOŽDA SADRŽE SPOJLER ILI DVA*******<br /><br />Glavna stvar u vezi sa ovim filmom je da spaja ceo film, u filmsku stvar, ali to radi na takav način da se ponekad zaboravi da je film pravi /><br>. filmovi u jednom:<br /><br />1. Politički dokumentarac, o društvenom sistemu u Švedskoj u to vreme. Koje su na mnogo načina i danas relevantne. Intervjui koje je uradila mlada žena po imenu Lena.<br /><br />2. Narativ o filmskom reditelju, Vilgotu Sjomanu, koji snima film... bavi se odnosom sa svojom zvezdom u filmu i kako nikada nije trebalo da se petlja sa ljudima sa kojima je trebalo da radi.<br /><br />3. Film koji Vilgot snima. Reč je o mladoj ženi po imenu Lena (IE. #2), koja je mlada i veoma politički aktivna, snima dokumentarac (IE. #1.). Ona je takođe odrasla i u svoju seksualnost, i slobodu toga.<br /><br />Veličanstvenost i čista briljantnost „Ja sam radoznala: žuta/plava“ je način na koji su ova tri elementa spojena zajedno. U jednom trenutku gledate intervju o politici, a u sledećem gledate šta anketar radi iza kulisa, ali to radi tako dobro da ponekad zaboravite da je to narativ.<br /><br />Druga stvar je dinamika između „žutog” i „plavog”, što ako vidite jedno, morate videti i drugo. „Plava” uopšte nije nastavak. Pokušaću da to objasnim najbolje što mogu, jer koliko znam, nijedan drugi film to nije uradio iako je to odlična tehnika.<br /><br />Zamislite ""Žuto"" kao živo biće, stvarni događaji u 14 scena. Potpuna priča.<br /><br />Zamislite „Plavo“ kao sve stvari IZMEĐU 14 scena u „Žutom“ koje niste videli, to je sama po sebi potpuna priča.<br /><br />U suštini to su paralelni filmovi... ista priča, ispričana na dva različita načina.<br /><br />Nisam video do prvih minuta. „Plavo“ koje sam u potpunosti razumeo „Žuto“<br /><br />Nadam se da je ovo bilo od pomoći ljudima koji su obeshrabreni raznim uticajima, jer je ovaj film promenio način na koji sam gledao na film.<br /><br />hvala na vašem vremenu.",positive
"Dugo se činilo da su svi dobri kanadski glumci krenuli južno od granice i (pretpostavljam) da su svi drugoplasirani popunili prva mesta i to je ostavilo talog za seksualne komedije.<br /><br />Ovaj film je bio pravo iznenađenje: uprkos čudnim zapletima koji su tipični za farse, glumci su izgledali kao da su u njihov lik, izgledalo je kao da je njihov lik pokušavao da vrati nešto što smo dobili. verovanja. Kada su statisti iz muzičkog spota napali policiju koja je iseljavala, skoro ste poverovali da je to moguće.<br /><br />Ako ste ljubitelj neke od boljih seksualnih farsi (kanadskih ili ne), svakako bi trebalo da potražite ovu. I veliko iznenađenje, ova seksualna farsa je takođe puna vrlo dobre golotinje.",positive
"Terri Gilliam's i David Peoples' udružili su se kako bi stvorili jedan od najinteligentnijih i najkreativnijih naučnofantastičnih filmova 90-ih. Ljudi su se pokazali kao scenario sa bizarnim obrtima i fantastičnim idejama o prirodi vremena Posebno mi se sviđa ideja da se prošlost ne može promeniti; to je lep kontrapunkt tolikom broju filmova o putovanju kroz vreme koji drugačije govore biološki holokaust i tanka linija između razuma i ludila. Gilijam je vizualizovao svoje ideje sa jedinstvenom domišljatošću, savršenstvom i originalnošću.<br /><br />Sama priča je zanimljiva: jedan čovek, Džejms Kol (kojeg glumi Brus Vilis u glumačkoj predstavi) putuje nekoliko decenija u prošlost da bi pronašao informacije o virusu koji je zbrisao čovečanstvo i ostavio samo nekoliko preživelih sa preživjelima da će pronaći informacije koje žive u podzemlju, da bi se nada da će svi moći da izleče naučnike. budućnost se može vratiti na površinu. Ali pošto njihova tehnologija putovanja kroz vreme nije savršena, on na kraju biva poslat u različite druge prošlosti i komplikovane stvari. I iz toga nastaje briljantni naučnofantastični triler sa nijansama film noara dok višestruki delovi ogromne slagalice počinju da se uklapaju u bizaran narativ koji uključuje aktiviste za prava životinja, paranoju na kraju milenijuma, biološko oružje, percepciju stvarnosti i definiciju razuma. Sa tako složenim filmom, Gilijamu i ljudima je bilo lako da naprave nered, ali umesto toga Dvanaest majmuna je priča koja izaziva razmišljanje koja će zadovoljiti one koji vole da budu izazvani i imaju strpljenja da cene neke lude ideje.<br /><br />Gledao sam ovaj film jednom pre oko 10 godina. To me je mnogo obeležilo: sećam se da sam još uvek razmišljao o mnogim danima nakon toga; za moj mladi um ovo je delovalo prilično zapanjujuće i bio je to jedan od prvih filmova koji me je naterao da cenim bioskop kao nešto ozbiljno i važno. Ponovo sam pogledao ovaj film pre nekoliko dana na DVD-u i bolji je nego što sam ga zapamtio. Bred Pit i dalje krade sve scene u kojima se nalazi, glumeći Džefrija Gojnsa skoro uvod u njegov lik Tajlera Durdena u Borilačkom klubu bogatog klinca sa nekim anarhističkim/nekonformističkim idejama koji je takođe lud i, prema Kolu, možda odgovoran za virus. Scene između Džefrija i Kola u ludnici su najbolje u filmu, Pitove oči, glas i neobični maniri uveravaju vas da je on zaista ludak zaključan u iskrivljenoj logici koju samo on razume. Pitova nominacija za Oskara bila je zaslužena! Iznenađujući je bio i nastup Brusa Vilisa: njegov se nisam dobro sećao, ali je lep i pun senzibiliteta; on igra čoveka koji je skoro ceo svoj život proveo pod zemljom, a kada dođe u prošlost, podelićete njegovu detinjastu fascinaciju nečim jednostavnim kao što je udisanje svežeg jutra ili posmatranje izlaska sunca. Kol je prilično dvosmislen lik, Pipls je pokušao da unese malo tame u njega, a on čini i druge uznemirujuće stvari drugim ljudima i sebi: scena u kojoj vadi sebi zube otkriva koliko je daleko njegova demencija otišla nekontrolisano. Ironično, Kol nije počeo kao ludi lik, ali kada sve počne da upozorava na smak sveta, smatra se ludim i ubeđen da mu je sve u glavi, sve dok ne dođe do tačke kada ne može da razlikuje prošlost od budućnosti, stvarnost od fikcije. Vilis provodi dosta vremena izgledajući zbunjeno i nesigurno, i savršeno funkcioniše. Jedan od zabavnih obrta u narativu je kada Koulov psihijatar, dr Ketrin Rejli, pronalazi nepobitan dokaz da je on zaista iz budućnosti i sada ponovo mora da ga ubedi u njegovu misiju da spase svet. Scenario je pun ovakvih čudnih obrta i održava film u brzom ritmu. Njihov odnos je takođe dobar, iako možda malo komprimovan zbog vremena. Ali uživao sam da gledam Kola i Rejlija kako se zaljubljuju i pokušavaju da pobegnu od autoriteta budućnosti da žive mirnim životom u prošlosti. Ali onda se stvari završavaju tragičnim/gorko-slatkim vrhuncem na aerodromu, umotavajući sve delove zajedno, što će oduvati mnoge umove.<br /><br />Postoje dva sjajna kraja u ovom filmu, preokret u smislu Se7en ili Fight Club, i intimniji završetak gde Railli čuči pored Koula i Kola, koji je svedočio oko tebe i Džejmsa. buduće ja umreti; njih dvoje dele kratak pogled, a ona mu se smeši. Preokret je sjajan, ali više volim ovaj kraj zbog emocionalnog uticaja. Medlin Stou je veoma dobra u ulozi doktorke Rejli, izvukla je mnogo različitih emocija od mene u svom nastupu. Film je ispunjen osećajem fatalizma sa idejom da se prošlost ne može promeniti: ovaj film to pokazuje na zastrašujući način. Podseća me na Kinesku četvrt u tom smislu, način na koji Jake Gittes sve zabrlja što više pokušava da pomogne. Rejlin lik deli taj fatalizam, što više pokušava da pomogne Koulu prvo se nosi sa njegovim 'ludilom', a zatim mu pomaže u njegovoj misiji to su više uvučeni u tragediju.<br /><br />Preokret se završava sa nadom, međutim, sa osećajem da Coleova misija nije bila u toku. Dvanaest majmuna je odličan film za gledanje ako neko želi da se zabavi; to ne bi trebalo da bude umetnost, iako je više umetnika nego mnogih umetničkih filmova. To je nepretenciozan film u kome su se svi elementi, od muzike preko montaže do kostimografije, itd., lepo spojili da bi proizveli moderno bioskopsko remek-delo.",positive
"Šta reći o filmu protiv establišmenta koji je nastao u vreme tako bezbojne praznine, društvene ravnodušnosti i autoritarnog zadovoljstva. Prvi veliki nezavisni film Cassevettes nije postigao trenutni uspeh na blagajnama i još uvek nije dobio kritičku pažnju koju zaslužuje. Navodim poređenja sa ovim talasom američkih nezavisnih projekata koji se sastoje od 'Beat' filmskih stvaralaca kao što su Robert Frank i Hari Smit sa rastućom scenom koja se pojavljuje u Parizu kasnih 1950-ih, poznatom kao francuski novi talas.<br /><br />Razgovarali su o poeziji i filozofiji i ranjivosti u vreme kada je ostatak američke kulture bio opsednut ostatkom kulture; čak i u ovoj fazi, ovaj osebujan, veoma spontan brend filmskog stvaralaštva borio se protiv uspostavljanja takvih političkih leksikona i fanatika koji su držali razvoj umetnosti pod kontrolom sredinom dvadesetog veka.<br /><br />Film kasete ispituje međurasne odnose i prikazuje čoveka kao slabog pred ljubavlju jer smo mi, kao kultura, naša vlastita predrasuda. Odličan element većine Kasevetovih radova je to što njegovi filmovi imaju skoro preokret minimalistički efekat; mentalna reakcija se izaziva kroz suptilne karakterne odnose, a ne toliko slike. Zbog toga se čini da se njegov rad odugovlači jer ima intimniji pristup definisanju likova koji se manje oslanjaju na eksplicitne radnje, a više na interpretaciju.<br /><br />Iako je moj omiljeni film iz Kaseveta 'Muževi', ovaj mu je najvažniji.",positive
"Ovaj film je snimljen samo 48 godina nakon završetka građanskog rata - najverovatnije u iščekivanju 50. godišnjice završetka rata. U filmu su rekreacije bitaka i ljudi tog doba koje izgledaju prilično impresivno i realno. Takođe pruža drugačiji i uravnoteženiji pogled od svog savremenog, RODENjE NACIJE - očigledno apsurdan i rasistički film. Zbog toga bi ovaj kratki film bio odličan za korišćenje u učionici da se razgovara o ratu i ispriča priča o veoma mladom čoveku koji beži da se prijavi kao bubnjar. Dečak je dobar i heroj je, iako se film završava prilično melodramatično - definitivna konvencija dana. Nije sjajan film, ali pristojan zaplet, pristojna gluma i malo preterane glume koju ste često viđali u drugim filmovima tog dana.<br /><br />Jedan dosadan aspekt ovog filma bila je prečesta upotreba naslovnih kartica za opis ili postavljanje pozornice za stvari koje su zaista bile očigledne. S vremena na vreme je postalo dosadno.",positive
"Sviđa mi se ovaj film iz nekoliko razloga. Ne volim filmove o zamršeno isplaniranim kriminalnim zaverama kao što je TOPKAPI. Takođe uživam u filmovima (kao što su TOPKAPI i BIG DEAL ON MADONA STREET) koji varaju žanr. Jedan od najboljih je DEZORGANIZOVANI ZLOČIN.<br /><br />Korbin Bernsen se tokom godina susreo sa četiri mane i odlučuje da svi oni mogu biti korisni u pljački banke koju planira u malom gradu u Montani. Ali, nije dao nikakve detalje o zločinu, niti se oni zaista poznaju. Ubrzo nakon što ih je poslao po njih, Bernsena hapse dvojica policajaca iz Nju Džersija (Ed O'Nil i Danijel Robak) od kojih je ranije pobegao i imaju nalog da ga vrate. Dok je on u njihovom pritvoru, četvorica zatvorenika (Fred Gvin, Lu Dajmond Filips, Ruben Blejds i Vil Ras) pojavljuju se bez pojma zašto su tamo, osim da je Bernsen nešto planirao. <br /><br />Prvih dvadeset minuta filma govori o četvorici mane koja se polako navikavaju jedno na drugo, a Gvin i Filips uspevaju da odagnaju sopstvene sumnje kako bi shvatili da moraju da veruju jedno drugom. U isto vreme vidimo Bernsena kako strpljivo čeka pravi trenutak da ponovo pobegne od O'Nila i Robaka - nije previše teško jer nisu najsjajnije sijalice koje su ikada postojale. Rezultat su dva niza zapleta koji će nastaviti da se suprotstavljaju jedan drugom tokom celog filma: četiri kontradiktora koji pokušavaju da shvate šta je Bernsenova šema i kako da je sprovedu u delo, a Bernsen pokušava da održi sopstvenu slobodu od svojih progonitelja i povrati svoju kabinu (i nadamo se da će tamo pronaći svoju bandu da preuzme komandu). Postoji i treći, manji, zaplet koji uključuje rastuću ljutnju i bes lokalnog šerifa Hojta Akstona protiv idiota iz Nju Džersija koji mu se stalno uvlače u kosu.<br /><br />Postoji mnogo divnih trenutaka u filmu, kao što je Akton, kojeg su podstaknuli O'Neil i Roebuck, u grad koji se nalazi u okolini kuće u kojoj se nalazi Bersen. vičući (preko megafona: „Izađi, opkoljeni smo!!“, samo da bi se scena prebacila na ogromnu ravnicu u Montani za koju se Bernsen muči i tetura miljama od mesta gde policija misli da se u tom trenutku nalazi. Postoje trenuci nezgodnih događaja naše četvorice prevarenika, koji su na sreću postavili najstariju (Gvin) poziciju vođe, ne garantuje uvek bilo šta. i oni moraju da se voze kamionom, nažalost, to je kamion koji nosi stajnjak.<br /><br />Zaključak da je banda uspešno izvršila pljačku, uključujući onesposobljavanje svih policijskih automobila u kritičnom trenutku (specijalnost kompanije Philips su automobili) takođe je dragulj vremena, neizvesnosti i komičnih rezultata. Film je veoma zabavan i svakako vredi pogledati.",positive
"Ovaj film nesumnjivo nekima neće dobro proći, jer je većina horora mentalna. Ali ima ponešto za skoro svakoga, uključujući nekoliko zaista kul scena otmice sa vanzemaljcima. Film u velikoj meri koristi mitologiju otmice vanzemaljaca, a istovremeno pokazuje i malo više inteligencije o nekim aspektima mitova o otmicama nego što biste očekivali od filma. Jillian McVhirter je odlična u onome što je moralo biti iscrpljujuće.",positive
"Zašto je ovaj film skoro nestao u mraku je apsolutni zločin. „Konan“ je možda jedini bolji film Mač i čarobnjaštvo. Brutalno nasilje, cool dizajn likova i dobar tempo, čine ovo jednom od najboljih fantazija. To je svakako najveći animirani film namenjen odraslijoj publici koji sam ikada video. Ovo nije slično Bakshijevom uobičajenom frenetičnom stilu. Za Bakshija, i po mom mišljenju, njegov najbolji rad, to je pravi odmak. Nadam se da će ovaj film dobiti priznanje koje zaslužuje.",positive
"Mali SPOILERS upozorenje !!!<br /><br />Dobar film...Vrlo dobar film. I ja sam iznenađen što to i sam kažem, jer nisam veliki fan vampira i zvuk režiserskog imena Deran Serafian obično znači lošu vest. Većina njegovih filmova su ispod proseka akcioni filmovi poput Death Varrant i Gunmen. Ovo je bio jedan od njegovih prvih filmova i možda je trebalo da nastavi da snima horore umesto akcije. Ovaj film me je zaista fascinirao. Dobro dostignuće, jer nisu bili poznati glumci ili veliki budžet. To je zaista priča koja vas drži fokusiranim. Posebno će biti zadovoljni ljubitelji originalnog mita o Drakuli. Sarafian osvetljava još jedan aspekt čuvene priče o Bremu Stokeru i ostaje prilično odan i veran istini. Objašnjava život rumunskog grofa Drakule i kako je uplašio tursku vojsku zabadanjem mrtvih leševa ispred svog zamka. Naravno, tu prestaje stvarnost i „zasnovano na istinitoj priči“. Pijenje krvi i sve ostalo je izmislio Bram Stoker.<br /><br />U ovom filmu, grof (Vlad Tepiš) emigrira u SAD i zavodi tone žena. I sve su lepe devojke, daću mu to. Sve u svemu, dobra gluma nepoznatih lica, dovoljno krvi da zadovolji morbidnije fanove horora i zanimljiva priča. Ovaj film je zaista nepoznat i bio je sakriven na najmračnijoj polici u mojoj lokalnoj videoteci. Ali svakako vredi očistiti prašinu na poklopcu i staviti je u videorekorder. Dođavola, mnogo je bolji od čuvenog filma Nikol Kidman sa istim naslovom. Ova dva filma nemaju ništa drugo zajedničko, ali krivim taj film što je skrenuo pažnju sa ove lepe male slike. Pogledajte... moje skromno mišljenje o To Die For = 8,5/10",positive
"Ako uživate u zagonetkama i neizvesnosti, uživaćete u ovom filmu. Istini za volju, uglavnom sam deo Adrijana Pola naterao da ga uzmem, nisam znao skoro ništa o filmu unapred. Radnja je: Sara (Karli Poup), studentkinja filozofije i metafizike, počinje da igra misteriozne zagonetke pokušavajući da otkrije „razlog“ i uključuje se u „igru“ rešavajući zagonetke. Vern (Adrian Paul) je vlasnik prodavnice, takođe fanatik zagonetki, a takođe se upleće u igru. Mit kaže da ako rešite igru, otkriva se smisao postojanja (koji se naziva ""Dizajn""). Lik Brendana Fera je tip ""seoskog idiota"" koji se mota po radnji i koji se ispostavi da je više nego što izgleda. Sve u svemu, mislio sam da je film prilično dobro urađen. I to je definitivno originalan koncept, retkost ovih dana! Ja lično volim zagonetke i igre reči, pa iako većina njih nije bila teška, ipak je bio zabavan film. Vredi iznajmiti.<br /><br /> Dakle, ako ga niste videli - uzmite ga! :-D<br /><br />",positive
